身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
健忘	肝阳上亢面色红 热灼肾阴舌苔灰黑 心血不足经行情志异常 心肾阴虚心胸汗出 肾阳虚脱肛 褒血犯头偏头痛 血虚面色白 贤虚供亏痫 心气虚独语 心肾不交多梦 心脾两虚不寐 阴虚火炎舌衄 血虚月经过少 心脾气虚小儿多动 肾精亏虚头昏 阴虚火旺烦躁 气血两虚老花眼 血虚风燥皮肤肥厚 肾阳虚衰嗜睡 肾精不足善恐 心脾两虚经断前后诸症 心肾不交梦游 心脾两虚视物变形 肝肾亏虚半身不遂 心脾气虚心胸汗出 心肾不交不寐 心脾两虚脑鸣 血虚舌麻 肾精亏虚面色黧黑 心血虚舌不知味 肝肾亏虚四肢强直 肾阴亏损云翳 肾精不足骨痛 肾精亏虚手舞足蹈 心睥两虚言语错乱 精血亏虚腰背俯偻 心肾不交耳聋 心脾两虚健忘 血虚舌颤 血虚神闭痫 气虚神伤近视 痰浊扰心健忘 贤精亏虚健忘 心阴亏虚不寐 心脾两虚舌蒌 心肾不交健忘 肝肾不足转筋 瘀血攻心健忘 酒毒舌颤 心脾两虚善疑 肝阳上亢耳聋
产后身痛	风寒产后身痛 血疲产后身痛 血虚产后身痛
皮肤紫斑	湿热下注紫斑 血热妄行紫斑 脾肾阳虚紫斑 脾不摄血紫斑 瘀血阻滞紫斑 寒凝血疲紫斑
食后困顿	痰湿中阻食后困顿 脾气虚食后困顿
臁疮	血瘀气滞臁疮 湿热下注臁疮 脾虚湿盛臁疮 肝肾阴虚臁疮
小便挟精	湿热内蔥小便挟精 肾虚失藏小便抉精 阴虚火旺小便挟精
骨痛	气血两虚云雾移睛 气滞血淤骨痛 湿热阻痹骨痛 寒湿阻络骨痛 肾精不足骨痛 睥肾气虚骨痛 肝肾亏虚四肢疼痛
黑睛星翳	风热余邪云翳 胃阴不足云翳 肝热受风经行目痛 热毒壅盛星翳 气血两虚星翳 肾阴亏损星翳 肝经风热星翳
角弓反张	疫毒凌心咽喉白腐 热盛动风啮舌 金疮风毒项强 热极或湿热生风四肢抽搐 血虚产后发痉 阳明热织角弓反张 邪热伤津项强 热盛动风神昏 热动肝风面色青 风热上攻目偏视 热盛动风啮齿 风寒产后发痉 寒湿阻络角弓反张 外伤风毒口噤 热毒内陷营血鼻肿 气血两虚动风角弓反张 风邪入侵四肤强直 金创风毒角弓反张 里热壅盛口噤 邪毒炽盛产后发疫 血热风盛角弓反张
舌肿	外感风寒舌肿 心脾积热舌肿 心经积热舌肿 脾虚寒湿舌肿 肝火上炎舌衄
