身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
大便秘结	肝经湿热阴冷 心经积热啼哭 肺火上炎鱼胞 气郁低热 相火偏旺性早熟 阳明腑实谵语 心脾实热弄舌 血热胎动不安 燥火内结肛裂 肝肾实火阴茎溃烂 胃火炽盛妊娠消渴 胃热干呕 胃实热吐血 胃肠湿热蛔虫扰动症 肺气壅滞小便不通 热毒籩结腹部硬满 乳食不节积滞 脾胃湿热面部脱屑 胃火燔龈牙龈蒌缩 湿热腰膝无力 风热上扰颜面红肿 湿热阴挺 胃火炽盛舌疮 心阴亏虚小儿心悸 肠道热结壮热 阴虚火旺口唇焦裂 阴虚风动小儿抽动 肺胃热盛乳娥 肺胃蕴热小儿音哑 血瘀气滞尾闾痛 胃肠积热粉刺 血虚阴亏便秘 风火熏迫大扬便血 胎毒发热 阳明腑实产后大便难 痰热闭肺鼾眠 脾胃积热多汗 实热肛门疼痛 阳明实热舌裂 胃肠实热小便黄赤 气阴两虚针眼 脾胃积热目畏热 胃火燔龈牙痛 肝脾气滞便秘 胃肠实热舌苔黄 胃火口唇红肿 热极肢厥手足厥冷 湿热蕴蒸颈后生痈 脏躁善悲 痰火上扰谵语 阳明热结挤腹痛 热盛动风神昏 疾热结胸舌苔黄腻 湿热内阻小便不利 血虚阴亏手足心热 热炽气分口渴 热毒湿注胚周疮毒 睥胃湿热呕吐 脾胃湿热胬肉 热毒炽盛针眼 阳明腑实心中懊侬 胃阴干涸舌光 气分热盛烦躁 脾胃热盛口唇焦裂 实火上炎口颊溃烂 实热费积胚周痈肿 脾胃积热口疮 疾火内扰烦躁 胃火炽盛善食易饥 胃火炽盛鼻衄 阳明腑实潮热 热毒炽盛脓疱 肝经湿热阴痛 肺胃热盛红鼻 拖接初期恶寒 胃火牙銀肿痛 心脾积热舌肿 实热便血 肺火背热 心脾积热银口 食滞宵肠啮齿 脾肺气虚便秘 阳明热盛发狂 胃旸实热肥胖 胃肠实热便秘 脾肾阳虚便秘 时发时止大便脓血 膀胱湿热尿频 胃肠实热政满 热毒蕴结尿脓 实热肛漏
指甲变异	肝郁血虚指甲变异 气血两虚指甲变异 血瘀指甲变异 风湿指甲变异 脾胃不足指甲变异
胎位不正	气血两虚胎位不正 气滞胎位不正
小便浑浊	脾肾两虚尿浊 下焦血瘀尿痛 肾阴亏虚尿浊 肾阴亏虚尿痛 肾阳虚衰尿浊 脾虚气陷尿浊 下焦湿热尿痛 下焦湿热尿浊
面色熏黑	肾精亏虚面色黧黑 肾阳虚面色熏黑 瘀血内阻面色黧黑
皮肤癍痕	湿热苔结癍痕 瘀血阻滞癍痕
尿脓	阴虚火旺尿脓 热毒蕴结尿脓
身振摇	阳虚身振摇 肝风内动身振摇
肥胖	疲油中阻肥胖 痰湿经行头痛 痰湿下流阴冷 脾肾阳虚肥胖 痰浊凝滞沩胎 疲疲互结把胖 痰湿中阻食后困顿 湿热内蕴脓疱 胃旸实热肥胖 痰湿阻滞闭经 痰气郁结乳房胀痛 痰湿中阻肥胖 气虚肥胖
关节变形	痰瘀辨阻关节变形 气血亏虚四肤疼痛 气滞血挤关节变形 肝肾亏虚关节变形
小儿多动	痰火扰心小儿多动 心脾气虚小儿多动 肾虚肝旺小儿多动
舌苔白	痰湿中阻食后困顿 寒邪阻络四肢疼痛 肺经风热鱼胞 暑湿流注鼠蹊肿痛 脾胃虚弱积滞 寒滞肝脉少旗痛 邪伏募原恶寒 寒饮内停偏头痛 睥虚湿困疳翳 风邪闭阻四肢抽搐 痰浊阻滞胸痛 寒湿中阻腹满 肝肾两亏流泪 风寒束表舌苔白 痰浊内阻手足厥冷 寒凝妊娠下肢抽筋 风湿皮肤瘙痒 痰迷心窍舌不知味 寒疲阻肺哮鸣 寒湿侵袭背痛 寒湿腰膝无力 营卫不和汗出偏沮 湿痰阻窍痴呆 肝气乘脾目札 疾气互结反胃 营卫壅闭黄汗 风痰经行抽搐 痰湿咳嗽 寒湿大便脓血 肾阳虚喷嚏 外邪干胃呕吐 肾虚痰阻气喘 寒湿痹阻汗出偏沮 睥虚肝乘口酸 痰湿白带 风痰挟瘀四肢抽搐 脾阳虚衰舌苔白 湿热蕴蒸云雾移睛 痰阻舌麻 痰湿内阻言语错乱 风中经络半身不遂 脾虚湿蕴指（趾）缝湿烂 寒湿腰重 风寒湿凝滞下肢生疽 风湿客表恶寒发热 风痰上扰啮舌 湿阻膝原舌苔白腻 风疲入络口眼呙斜 过食生冷积滞 中外风舌歪 痰湿阻滞闭经 痰湿内阻头晕 邪入少阳胁痛 痰饮内伏背冷 湿热白庀 水湿困脾浮肿 疲蒙清窍痴呆 寒邪犯胃胃痛 风湿犯头头痛 脾虚湿热鼻臭 湿著肌表身痛 脾肾阳虚便难 太阳伤寒头冷 寒湿袭表舌苔白 风寒表证口噤 气滞湿阻腹露青筋 湿困脾胃口淡 寒滞肝脉腹冷 寒湿发黄 痰浊阻肺气喘 肝郁气滞憋气 湿困脾阳嗜睡 蝈虫啮齿 血热白庀 寒饮内停舌苔白腻 痰浊犯头头痛 痰湿阻滞麻木 风寒束肺胸闷 气滞血瘀乳房肿块 寒滞扬道面色青 痰湿阻络目偏视 肾虚风湿阴茎溃烂 风寒肩痛 中内风舌歪 肝气郁结失语 虚寒吐泻 气滞湿阻单腹胀大 风疲内闭神昏 寒湿内阻吞酸 麻毒时邪由里出表〔初热期〉 气虚痰结发癫 湿热蕴蒸头重 风寒外侵无名肿毒 脾虚舌胖 湿阻气滞头胀 风中经络流涎 风痰郁结痰核流注 风痰闭神痫 痰气痞 风痰入络手颤 寒湿束表无汗 痰壅气阻喉中痰鸣 湿毒浸淫指（趾）缝湿烂 风痰上扰目昏 风邪入侵四肤强直 寒湿吐泻
产后胁痛	血疲产后胁痛 血虚产后胁痛 气滞产后胁痛
脱发	褒血阻滞脱发 肾虚腰痠 阴虚齿燥牙齿浮动 血热生风脱发 风冷客经牙齿焦黑 湿热挟毒头白秃 气血两虚脱发 肾气不足精液清冷 肾阳虚腰重 肝肾虚腰膝无力 肾虚腰脊痛 阴血亏虚脱发
漏下	气血虚弱漏下 虚寒肛漏 气滞血瘀漏下 气血两虚麻木 脾不摄血紫斑 阴虚血热漏下 脾不统血红斑
胎毒	胎毐内藴杨梅疮 胎毒发寒 胎毒发黄 胎毒发热 胎毒发搐
皮肤粟疹	疾热阴虚粟疹 血热郁肤粟疹 风湿瘀阻粟疹 肺宵热盛粟疹 湿热壅滞粟疼 毒热浸淫粟疹
胚门重坠	湿热下注胚门重坠 气滞血瘀肛门重坠 肝气郁结肛门重坠 中气下陷肛门重坠
红鼻	血热红鼻 气滞血瘀红鼻 肺胃热盛红鼻 毒热蓬结红鼻
善忧思	心脾气结善忧思 肺气不足善忧思
失语	肝气郁结失语 疲蒙清窍痴呆 肾精不足失语
小儿丹毒	毒热蕴滞丹毒 胎毒菹结丹毒 毒热炽盛丹毒
痴呆	痰气郁结妄听妄视 湿痰阻窍痴呆 痰迷心窍舌不知味 肝肾亏虚痴呆 髓海不足痴呆 气郁血虚痴呆 痰蒙淹窍发癫
经行先后无定期	肝郁肾虚经行先后无定斯 肝郁肾虚经行先后无定期 肝郁化火经行吐衄 心脾虚弱经行先后无定期
头皮脱屑	血热化燥头皮脱屑 毒邪浸淫头皮脱屑 风热化燥头皮脱屑 湿热生风头皮脱屑
经行头痛	肝阳上亢经行头痛 痰湿经行头痛 血疲经行头痛 血虚经行头痛
胚周疮毒	热毒湿注胚周疮毒 肺脾肾虚肛周疮毒
目昏	脾气虚弱目昏 痰气痞 肝肾阴虚目昏 肝阴虚胁痛 心肝血虚目昏 肝肾阴虚瘫痪 风痰上扰目昏 肝肾两亏流泪 肝郁气滞目昏 命门火衰目昏 肝肾亏虚近视 肝胆湿热鼻塞
噎膈	阴虚津亏噎膈 痰气互结噎膈 气虚阳微噎膈 瘀血内阻噎膈 胃阴干涸舌光
体臭	湿热蛮蒸体臭 胎毒内遼体臭
肛门瘙痒	风热郁结肛门瘙痒 风湿挟热肛门瘙痒 血虚生风肛门瘙痒
月经过少	血瘀月经过少 月经过少 脾胃虚弱月经过少 血虚月经过少 肾气虚月经过少
眼睑丹毒	风热相搏眼睑丹毒 湿热壅遏眼睑丹毒
经行发热	外感风寒经行发热 外感风热经行发热 肝郁化火经行发热 气血两虚经行发热 阴虚火旺经行发热 胞宫瘀血经行发热
人工流产术后阴道异常出血	褒阻胞宫阴道异常出血 湿热壅滞阴道异常出血 气血两虚阴道异常出血
皮肤萎缩	寒凝血疲萎缩 气血两虚萎缩 肝肾阴虚萎缩 毒邪浸淫萎缩
鼻肿	热毒内陷营血鼻肿 湿热郁蒸鼻肿 热毒壅肺鼻肿 疳热攻肺鼻肿
小儿痴呆	髄亏痴呆 肝肾亏虚痴呆 疲蒙清窍痴呆 心血亏虚痴呆 瘀阻脑络痴呆
小儿肥胖	疲油中阻肥胖 脾肾阳虚肥胖 疲疲互结把胖 肺气虚肥胖 胃旸实热肥胖
皮肤黑斑	挤血阻络皮肤黑斑 肝郁气滞皮肤黑斑 睥气虚皮肤黑斑 肾阴虚皮肤黑斑
产后腹痛	寒凝产后腹痛 血瘀产后瞄痛 血虚产后腹痛 血瘀产后腰痛
黄液上冲	脾胃实热黄液上冲 脾胃虚寒黄液上冲
嗜睡	疲油中阻肥胖 痰浊上蒙晕厥 痰湿下流阴冷 寒湿发黄 脾胃阳虚慢惊 肾阳虚衰嗜睡 脾气虚食后困顿 湿困脾阳嗜睡 肾精不足嗜睡 湿阻气滞胎死不下 胃气虚弱呕吐 瘀血阻窍嘈睡 痰湿内阻头晕 邪毒内陷心肝 心脾两虚嗜睡 疼毒外达肺部苔热《见形期〉 疲湿兼闭心窍半身不遂 肝肾阴虚舌蒌 外感暑邪发热 一、湿热初侵，邪犯肺胃
吞酸	寒湿内阻吞酸 饮食积滞吞酸 食积腹泻 肝气犯胃经行呕吐 食积腹痛 肝胃不和嘈杂 肝气犯胃吞酸 胃热恶心 伤食恶心 过食生冷积滞 气滞湿阻小便不利 宿食积滞舌腐 肝气郁结小便不通 伤食嘈杂 肝郁脾虚腹泻 乳食不节积滞 痰气郁结乳房胀痛 胃热嘈杂 胃热呕吐
瘫痪	肾阳虚摊痕 瘀血阻络瘫痪 脾胃气虚瘫痪 肺胃津亏瘫痪 三、邪去正虚，肝肾亏损 肝肾阴虚瘫痪 肝郁血虚瘫痪 瘀血攻心健忘 寒湿阻滞雜疾 二、湿热阻络，气虚血瘀 湿热阻瘅摊疾
赤脉传睛	阴虚火旺赤脉传睛 阴精亏拫赤脉传睛 心火赤脉传睛
绝汗	气明欲脱绝汗 阳气欲脱绝汗
小儿啼哭	伤食积滞啼哭 心经积热啼哭 受惊恐惧啼哭 胎热小儿脐突 心虚禀弱啼哭 眙禀亏虚小儿脐突 脾经虚寒啼哭
发黄	肝胆湿热舌苔黄腻 寒湿发黄 湿热熏蒸头汗 湿热蒙蔽谵语 脾虚血亏发黄 湿热郁蒸心中懊侬 胃肠湿热蕴毒便血 湿热蒙蔽神昏 湿热发黄 嵌血发黄 肝胆湿热小便黄赤 肝胆湿热尿血 瘟毒发黄 肝胆湿热妊娠疫痒 寒湿中阻腹满
发狂	热入营血但热不寒 邪入血分发热 肝胆郁火发狂 阴虚火旺发狂 肝郁气滞经行情志异常 热入营血烦躁 痰火上扰发狂 阳明热盛发狂 瘀血内阻发狂
浮肿	脾阳虚产后浮肿 水湿困脾浮肿 气虚黄带 肺气虚弱颜面浮肿 脾胃虚弱月经过少 风水相搏浮肿 肝肾亏虚四肢疼痛 风热犯肺浮肿 脾肾不足煤形红斑 气滞肌表四肢肿胀 肾阳虚浮肿 脾阳虚浮肿 寒湿腰冷 肾阳虚产后浮肿 水饮内停口渴 水饮凌心小儿心悸 脾气虚白带 腑肾阳虚食欲不振 阴虚肝旺妊娠痉厥 阳虚面色白 阳虚舌边齿痕 气滞胎位不正 肾阳虚衰嗜睡 肺气失宣小便不利 胎毒发热 痰湿阻滞不孕 湿热下注产后浮肿 脾不统血红斑 心脾两虚脑鸣 脾气虚弱交接出血 气血两虚产后浮肿 肝肾亏虚关节疼痛 睥虚湿泛妊振肿胀 脾气虚弱经行泄泻 脾肾阳虚经断前后诸症 脾肾阳虚单腹胀大 脾阳不足颜面浮肿 肾阳虚咳嗽 湿热壅盛泮肿 睥阳不振浮肿 肾阳虚妊娠小便不通 阳虚水泛身重 风寒袭肺浮肿 气血两虚浮肿 湿热阻络红斑 肾阳虚产后小便频数与失禁 脾虚寒湿舌淡白 脾气亏虚胎水肿满 脾虚湿滞胞睑肿胀 痰湿阻滞闭经 湿阻气滞胎死不下 靑腿牙疳 风水相搏身重 心阳虚心下悸 脾肾阳虚经行浮肿 脾气虚弱经断复行 阳虚津不上承舌干 痰饮内伏背冷
颈粗	心肝阴虚颈粗 气血褒结颈粗 痰气郁结颈粗
产后乳汁自漏	肝热产后乳汁自漏 肝郁产后乳汁自漏 气虚产后乳汁自漏
目畏热	风热目畏热 肝经实热目畏热 脾胃积热目畏热
胁痛	肝胆湿热胁痛 膀胱阻滞小腹痛 肝阳上扰头痛 肝胆湿热尿频 肝郁气滞呵欠 肝阴虚胁痛 肝胃不和恶心 肝郁气滞目珠自胀 肝郁气滞经行腹痛 肺燥津亏口渴 肝胆湿热丹毒 疲饮内阻胁痛 肝阳上亢经行头痛 肝火上炎头热 肝火犯胃吐血 肝经火盛胬肉 瘀血阻络胁痛 肝气郁滞胸闷 肝肾阴虚经断前后诸症 肝郁气滞胁痛 肝阳上扰偏头痛 气滞血疲闭经 肝火上逆暴盲 气郁乳房红肿 肝火犯肺咳嗽 肝胃不和呕吐 肝气郁结肛门重坠 气血褒结颈粗 邪入少阳胁痛 湿热蕴积黄汗 肝热妊娠呕吐
颈后生痈	气血亏虚颈后生痈 阴虚火毒颈后生痈 湿热蕴蒸颈后生痈
目干涩	阴虚火旺赤脉传睛 血虚生风眼皮跳 肝肾阴虚阴疮 阴血亏虚目干涩 肝肾亏损云雾移睛 阴精亏拫赤脉传睛 肝肾阴虚瞳神干缺 心肝血虚目昏 肝血不足夜盲 燥热伤津目干涩 血虚神闭痫 肝肾阴虚阴痛 肝肾阴虚目昏 津液亏虚甲错 肝肾阴虚月经过多
四肢抽搐	阴虚阳亢生风四肢抽搐 中毒所致四肢抽搐 热极或湿热生风四肢抽搐 脾肾阳虚四肢抽搐 肝郁血虚四肢抽擄 血虚产后发痉 痰火扰神痫 痫证弄舌 血虚生风四肢抽搐 风痰挟瘀四肢抽搐 气郁痰壅口噤 风寒产后发痉 寒湿阻络角弓反张 外伤风毒口噤 热入营分谵语 热毒内陷营血鼻肿 风邪闭阻四肢抽搐
经断复行	肝肾阴虚经断复行 肝郁化火经断复行 脾气虚弱经断复行 湿毒下注经断复行
胞睑肿胀	脾虚湿滞胞睑肿胀 被物所伤血灌瞳神 肺脾积热胞睑肿胀 早期眼胞疲痛
舌疮	胃火炽盛舌疮 肾阳虚舌疮 肾阴虚舌疮 肾阴虚尿频 血虚燥热舌搭 睥气虚夹热舌疮 心火上炎舌疮
战汗	疫留气分欲解战汗 太阳伤寒欲解战汗
白内障	阴虚白内障 脾虚白内障 胎患白内障 惊震白内障 火盛白内障
尾闾痛	肾气亏虚尾闾痛 血瘀气滞尾闾痛
不射精	挤血阻滞不射精 阴虚火旺不射精
阴茎溃烂	肝肾实火阴茎溃烂 肝经湿热阴茎溃烂 肾虚风湿阴茎溃烂 肝肾虚热阴茎溃烂
四肢瘦剖	肾精亏虚四肢瘦削 肝肾阴虚四肢瘦削 气血两虚四肤瘦削 脾胃虚弱四肢瘦剖 脾肾阳虚四肢瘦削
妊娠瘙痒	血虚风燥妊娠瘙痒 肝胆湿热妊娠疫痒
头皮疖肿	湿热头皮疖肿 暑毒头皮疖肿
经行腰痛	血虚气滞经行腰痛 肝肾亏损经行腰痛
痰核流注	风痰郁结痰核流注 湿热郁结痰核流注 脾虚痰湿痰核流注
口咸	肾阴虚证口咸 肾阳虚证口咸
妇人腹痛	气滞血瘀妇人腹痛 血虚失荣妇人腹痛 湿热瘀结妇人腹痛 热毒壅盛妇人腹痛 肾阳虚衰妇人腹痛 寒湿凝滞妇人腹痛
小儿异嗜	情志异常异嗜 热毒蕴肠异嗜 诸虫积滞异嗜 脾胃虚寒异嗜
足颤	肝肾不足小儿靑盲 阴虚动风啮齿 风寒湿侵足颤 血虚风动足颤
呵欠	肝郁气滞呵欠 脾肾阳虚呵欠 疟疾寒战 心肾不交脏躁 气滞血疲呵欠
瘫瘕	血瘀瘫瘕 痰湿癥瘕
颈项痛	风湿犯表颈项痛 风热挟疾颈项痛 落枕颈项痛 扭伤颈項痛
妊娠痉厥	脾虚肝旺妊娠疫厥 阴虚肝旺妊娠痉厥
心下痞	痰气痞 寒热痞 饮气痞 胃热干呕 客气上逆痞 胃寒干呕 热痞
初生目赤烂	火毒攻目目赤烂 肺脾积热目赤烂
沩胎	寒湿凝滞伪胎 气滞血瘀沩胎 痰浊凝滞沩胎 气血两虚沩胎
急惊	痰热惊风 暑热惊风 食滞惊风 外感惊风 脾胃阴虚痞块 惊恐惊风
转筋	气血不足转筋 热霍乱转筋 肝肾不足转筋 寒霍乱转筋 风寒外袭转筋
毛发脱落	疠毒攻肺毛发脱落 肾阳虚摊痕 气血两虚毛发脱落 肝肾阴虚毛发脱落 脾肾拓虚毛发脱落 风湿疠气麻木
小儿音哑	风热侵犯小儿音哑 风寒侵犯小儿音哑 肺胃蕴热小儿音哑 肺肾阴虚小儿音哑
瞳神散大	肝经风热小儿青盲 气阴两虚瞳神散大 肝气郁结艟神散大 肝火犯胃头目胀痛 阴虚火旺瞳神散大 痰火郁结瞳神散大 外伤瞳神散大
舌痒	心火炽盛舌痒 心肾阴虚受风舌痒
小儿发热	邪入血分发热 外感风温发热 外感风寒发热 邪入营分发热 阳明瞄实发热 外感暑邪发热
耳胀闷	肝肾阴虚耳胀闷 风热犯肺耳胀闷 脾气虚弱耳胀闷 气滞血褒耳胀闷 肾阳亏虚耳胀闷 肝胆湿热耳胀闷 风寒袭肺耳胀闷
脐内出血	血热妄行脐内出血 肾火偏亢脐内出血
夜盲	肝肾阴虚夜盲 气血两虚夜盲 脾虚失调囟门不合 脾肾阳虚夜盲 睥虚湿困疳翳 肝血不足夜盲 肾阳虚夜盲 脾气虚弱夜盲
舌生芒刺	营分热盛舌生芒刺 阳明腑实舌生芒刺
心悸	阴虚火旺暴盲 热灼肾阴舌苔灰黑 肾精亏虚下肢生疽:多发于儿童及靑年 阴虚火旺皮肤褐斑 痰火扰心心悸 痰湿阻络舌蒌 痰火扰心梦游 肝血不足夜盲 心肾阳衰面色青 心脾虚弱经行先后无定期 阴虚阳亢妊娠眩晕 气滞血疲呵欠 心气亏虚胸痛 痰湿阴吹 心胆气虚多梦 水火不济善喜 血虚月经过少 阴虚血亏便难 气血两虚善恐 气血两虚脱形 脾虚血亏发黄 阳气虚发癍 血热扰神心烦 心脾气虚心胸汗出 心脾两虚脑鸣 胸供肩不举 心气虚少气 心阴虚火旺心烦 气血两虚夜盲 心肾不交经断前后诸症 气滞血瘀口唇靑紫 心血亏虚小儿心悸 虚热赤白带 心气虚心悸 心血不足盗汗 血虚舌颤 脾气虚妊娠小便不通 气血两虚便血 血虚产后发热 气血两虚妊娠眩晕 气血两虚云雾移睛 气血两虚舌淡白 气血两虚经行发热 血虚皮肤瘙痒 心血虚心悸 气血两虚远视 心脾两虚舌蒌 痰火内扰妊娠心烦 肾阴虚损鼻衄 血虚风燥妊娠瘙痒 心血挤阻胸痛 血虚胎漏 营血虚热須发早白 心血褒阻心悸 气血两虚妄听妄视 心脾两虚嗜睡 脾肺气虚咳血 阳虚水泛气喘 血虚产后眩晕 阴虚血亏潮热 气血两虚动风角弓反张 心阴虚心悸 血虚晕厥 肝阳上亢面色红 阴虚血搡反胃 心气虚掼憋气 血不荣润腹筋挛急 心肾阴虚心胸汗出 血虚头皮麻木 气血两虚舌光 肾虚水泛妊娠肿胀 褒血犯头偏头痛 心气亏虚梦游 气血两虚胞衣先破 心肺气虚善悲 血虚面色白 气血两虚妊娠头痛 气血虚弱乳房胀痛 寒饮内停反胃 气血虚弱闭经 心气虚独语 精血亏虚脱形 气血两虚大便变形 气血两虚阴道异常出血 血虚妊娠下放抽筋 热毒侵及小儿心样 褒血阻滞梦游 阴虚火旺烦躁 水饮凌心小儿心悸 心阴亏虚小儿心悸 气血两虚老花眼 惊恐伤神心悸 血虚失荣妇人腹痛 阴虚肝旺妊娠痉厥 血虚风燥皮肤肥厚 心肾不交脏躁 水气凌心心悸 气虚下陷大便失禁 心脾两虚经断前后诸症 气血虚弱消瘦 气血两虚疲乏 心肾不交梦游 痰湿阻滞不孕 心脾两虚视物变形 心脾两虚多梦 气血两虚产后浮肿 心肝阴虚颈粗 气血两虚脱发 气血亏虚目珠自胀 阴血亏虚目视无神 气虚齿动牙痛 血虚经行眩晕 心血不足烦躁 心阳亏虚小儿心样 气阴两虚反胃 痰火扰心妄听妄视 瘀阻肺络咳血 心肾不交耳聋 心脾气血两虚头晕 肾阳虚衰小便不利 血两虚过期不产 津气亏虚白痏 心脾两虚经前不寐 血虚神闭痫 脾不统血鼻紐 阴虚火旺头目胀痛 心阳虚阴盛心烦 心血瘀阻胸闷 脾胃气虚瘦废 虚热胎漏 心阳虚心悸 脾肾阳虚胎水肿满 心阴亏虚不寐 气血两虚浮肿 气血两虚流产后闭经 脾肾阳虚经行浮肿
舌痛	阴虚火旺舌痛 脏腑实热舌痛
咽干	肺阴虚喉痒 胃阴虚呕吐 脾胃实热黄液上冲 阴虚血热经期延长 肝胆火旺善怒 热灼肾阴舌苔灰黑 肝郁化火经间期出血 肾阴虚证口咸 毒热炽盛肌肤疼痛 痰火扰心心悸 痰火扰心梦游 燥热伤肺咽干 真热假寒面色白 肝经湿热性早熟 心肾不交多梦 阴虚火旺经行口糜 阴精不足远视 肾阴虚喷嚏 肝郁化火闭经溢乳 肝肾阴虚耳胀闷 肝胆实火蟹睛 热入血室经来骤止 肝经湿热阴茎溃烂 气阴两虚舌光 膀胱湿热尿血 风湿热痹阻蝶形红斑 肝气郁滞胸闷 肾火偏亢脐内出血 胃热炽盛鼻干 血虚阴亏便秘 肝胆湿热耳胀闷 心肝火旺经前不寐 肝郁化火妊娠消渴 肺燥喉痒 气滞湿阻小便不利 肺胃阴虚低热 肺阴虚消瘦 气阴两虚瞳神散大 肝经实热目畏热 胆腑郁热失嗅 阴虚阳盛经间期出血 阴虚内热小便黄赤 阴虚肺燥经行吐衄 肝肾阴虚瘫痪 肺热壅盛咳血 肝郁气滞视瞻昏渺 气阴两虚咽痛 阴虚阳充脏燥 风热外袭脱屑 虚热赤白带 阴虚五心烦热 邪入少阳寒热往来 阴虚血热胎萎不长 肾虚腰痛 肝火耳聋 肝胃不和恶心 阴虚火旺咳血 肝郁气滞目珠自胀 肝胆热毒耳痛 肝胆湿热鼻塞 疲血阻滩反宵 风热犯肺耳胀闷 凉燥袭肺恶寒 邪郁少阳恶寒 肝肾虚热阴茎溃烂 肺经燥热鼻痒 肝胆湿热妊娠疫痒 肺热熏灼舌萎 虚火上炎口颊溃烂 燥热妊娠咳嗽 肝肾阴虚腹露青筋 膀胱湿热小便黄赤 阳明蓄血善食易饥 肺热咳嗽 肺肾气虚妊娠咳嗽 肺燥咳嗽 肝肾阴虚低热 肺阴虚咽干 胃燥津亏阴吹 肺胃津亏瘫痪 邪入少阳胁痛 肾阴亏虚尿痛 脾肺积热赤膜下垂 肝气郁滞脑鸣 肝火上炎舌衄 肝火犯肺鼻衄 心肾阴虚心胸汗出 肝胆火热血灌瞳神 肺胃热盛鼻痛 胃火燔齿牙齿焦黑 燥火内结肛裂 肝热产后乳汁自漏 阴虚火旺红斑 气阴两虚口淡 心火炽盛尿痛 肝胆湿热耳内流脓 虚火灼齿牙痛 阴虚火旺烦躁 肝郁化火经行发热 脾胃虚弱经行呕吐 肺热津伤消渴 风热袭肺咽干 肾阴亏损尿血 燥热伤肺白睛溢血 脾胃热盛咽干 邪入少阳口苦 血瘀低热 肺燥阴虚鼻干 风邪犯肺咳痰 血瘀痰聚声音嘶哑 虚热便血 肝胆郁热咽干 肾阴亏虚尿频 肾阴虚咽干 肝郁化火经行吐衄 风热上扰耳内流脓 肝胆湿热阴疮 虚阳浮越头热 火毒内侵悬雍下垂 阴虚肺燥咳痰 阴虚低热 肝肾阴虚瞳神缩小 肺阴虚咳嗽 肺肾阴虚鼻塞 肝胆火盛抱轮红 热盛伤津四肢拘急 阴虚动风啮齿 肝郁化火面痛 虚热胎漏 火盛白内障 阴虚痰阻哮鸣 心阴亏虚不寐 热入营血发癍 阴血亏虚目干涩 热毒炽盛脓疱 肝肾阴虚面诟 肝经湿热阴痛 虚阳浮越面色红 胆热痰扰善疑 表寒郁热烦躁 肾阴亏虚尿浊 肝气犯胃吞酸 痰热妊娠音哑 风热郁结肛门瘙痒 气阴两伤心中懊侬 热壅血瘀胸闷 风阳上扰头摇 湿热壅滞带状疱疹 燥热鼻流涕 胃阴亏虚妊娠消渴 燥邪伤肺咳嗽 心火亢盛尿血 肝阳上亢耳聋 肾阴虚妊娠音哑 肝胆火盛白睛红赤
皮肤皲裂	脾虚湿蕴皲裂 湿毒浸淫皲裂 血热风燥皲裂 血虚风燥皲裂
喉痒	风热喉痒 燥热妊娠咳嗽 肺肾阴虚声音嘶哑 肺阴虚喉痒 风寒束表咳嗽 风寒侵犯小儿音哑 风寒声音嘶哑 风寒表实无汗 风热外袭恶风 肺燥阴虚鼻干 肺燥喉痒 肺阴虚咽干 风寒喉痒 燥邪伤肺咳嗽 风寒妊娠咳嗽
肛门生疣	湿热下注 气滞血瘀 肝郁血虚 肝肾阴虚 风热郁毒
气从少腹上冲	气逆气从少腹上冲 水寒气从少腹上冲
胃痛	胃寒恶心 胃寒呕吐 胃阴虚胃痈 肝郁气滞胃痛 寒邪犯胃胃痛 寒饮内停偏头痛 脾胃虚寒胃痛 肝火犯胃宵痛 瘀阻胃络胃痛 食积胃痛
妊娠头痛	风寒妊娠头痛 风湿妊娠头痛 风热妊娠头痛 痰湿阻滞妊娠头痛 气血两虚妊娠头痛 肝阳上亢妊娠头痛
乳房胀痛	肝郁肾虚经行先后无定斯 肝经郁火经前面部粉刺 肝经郁热妊娠尿血 肝郁气滞不孕 气血虚弱乳房胀痛 气滞血瘀妇人腹痛 肝气郁结失语 肝热产后乳汁自漏 肝气郁结阴冷 肝郁化火经断复行 肝郁气滞乳房胀痛 肝郁化火经行吐衄 痰气郁结乳房胀痛
经间期出血	肝郁化火经间期出血 阴虚阳盛经间期出血 气滞血瘀经间期出血 湿热留滞经间期出血
胞衣先破	气滞血疲胞衣先玻 气血两虚胞衣先破
牙龈溃烂	风热牙疳 靑腿牙疳 走马牙疳
瘰疬	痰凝气滞瘰疬 肝肾阴虚瘰疬
产后大便难	血虚津亏产后大便难 脾肺气虚产后大便难 阳明腑实产后大便难
初生儿小便不通	热结膀胱小便不通 元气虚弱小便不通
皮肤红线	毒入血分皮肤红线 毒热郁滞皮肤红线 火毒炽盛皮肤红线
白睛溢血	风热犯肺白睛溢血 燥热伤肺白睛溢血 肝火上炎白睛溢血 撞击外伤白睛溢血 风寒袭肺白睛溢血 阴虚火旺白睛溢血
尿痛	下焦血瘀尿痛 膀胱湿热小便黄赤 膀胱湿热尿频 肾阴亏虚尿痛 心火炽盛尿痛 下焦湿热小便不通 下焦湿热尿痛 热毒蕴结尿脓
远视	阴阳两虚远视 阴虚火旺远视 气血两虚远视 阴精不足远视 气虚神伤近视 肝肾亏虚近视
小儿低热	湿热蘊结低热 邪留肺卫低热 食滞脾胃低热 气虛低热 阴虚低热 疳积低热
